,SAMPN,RESTY,HHSIZ,HHLIC,INCOM_R,HHVEH_R
522,3014853,1,2,2,3,2
523,3014929,2,2,1,4,1
524,3014954,2,1,0,9,0
525,3015002,2,1,1,2,0
526,3015011,1,4,2,4,2
527,3015025,1,2,1,4,1
528,3015073,1,5,3,4,2
529,3015170,2,1,1,4,1
530,3015230,1,2,2,9,2
531,3015231,1,1,1,4,3
532,3015232,1,1,1,3,1
533,3015246,1,5,1,1,0
534,3015253,2,1,1,9,2
535,3015257,1,1,1,1,1
536,3015318,2,1,1,2,0
537,3015383,2,1,0,1,0
538,3015391,2,1,1,3,1
539,3015412,1,5,2,4,2
540,3015431,1,4,2,4,3
541,3015434,1,1,1,1,2
542,3015450,1,1,1,9,2
543,3015456,2,2,2,4,2
544,3015550,1,1,1,1,1
545,3015555,2,5,1,3,0
546,3015564,1,7,1,2,1
547,3015584,2,2,0,1,0
548,3015625,1,4,2,3,2
549,3015638,1,4,2,2,3
550,3015672,1,4,2,4,2
551,3015677,1,1,0,1,1
552,3015696,2,3,2,4,2
553,3015728,2,1,1,1,0
554,3015785,2,1,1,4,1
555,3015792,1,1,1,2,1
556,3015800,2,1,1,2,0
557,3015837,1,1,1,9,2
558,3015865,2,1,1,2,1
559,3015890,1,1,1,2,1
560,3015913,1,1,1,2,1
561,3015926,1,2,2,3,3
562,3015929,2,3,2,4,1
563,3015959,2,4,2,1,1
564,3015975,2,1,1,2,2
565,3016054,1,4,3,4,3
566,3016071,1,7,2,1,2
567,3016079,1,1,1,2,1
568,3016080,2,2,1,4,1
569,3016107,2,2,1,1,1
570,3016110,1,2,2,4,2
571,3016206,2,2,2,4,0
572,3016293,1,2,2,9,2
573,3016309,1,2,1,1,1
574,3016366,1,3,3,4,2
575,3016398,1,2,1,2,1
576,3016440,1,2,2,4,2
577,3016489,1,2,2,1,2
578,3016497,1,2,2,4,2
579,3016658,2,1,0,2,0
580,3016666,2,1,0,2,0
581,3016681,2,1,1,3,0
582,3016699,1,3,3,4,3
583,3016710,1,2,2,1,2
584,3016724,2,2,0,9,0
585,3016817,2,1,1,4,2
586,3016879,2,1,1,9,1
587,3016908,2,3,2,4,0
588,3016948,1,3,3,9,3
589,3016963,1,2,2,1,2
590,3016978,1,2,2,4,2
591,3017010,2,5,3,4,1
592,3017038,2,1,1,2,1
593,3017063,1,5,2,2,2
594,3017073,1,4,3,2,2
595,3017097,1,1,1,4,1
596,3017103,2,2,0,9,0
597,3017115,1,2,2,4,2
598,3017185,2,1,1,1,1
599,3017191,1,4,3,4,2
600,3017258,1,5,2,2,2
601,3017269,2,2,2,2,2
602,3017279,2,2,2,4,1
603,3017287,2,1,0,1,0
604,3017337,2,1,1,1,0
605,3017369,1,1,0,9,0
606,3017432,1,4,4,4,2
607,3017440,1,2,2,3,1
608,3017442,1,4,4,4,3
609,3017479,2,1,1,1,0
610,3017488,1,2,2,2,2
611,3017541,1,1,1,2,2
612,3017563,1,2,1,2,2
613,3017678,1,1,0,1,0
614,3017703,2,4,1,2,0
615,3017717,1,1,1,1,1
616,3017721,1,3,2,1,2
617,3017765,2,1,1,1,1
618,3017774,1,2,2,4,2
619,3017809,2,1,1,3,1
620,3017814,2,1,0,2,0
621,3017827,1,2,2,2,2
622,3017832,1,2,2,3,1
623,3017844,1,2,1,1,1
624,3017866,1,2,2,4,2
625,3017891,1,1,1,2,1
626,3017918,1,5,2,4,3
627,3017936,1,2,2,9,3
628,3017952,1,2,2,4,2
629,3018002,1,2,2,3,2
630,3018047,1,3,1,3,1
631,3018064,2,3,1,4,1
632,3018079,1,2,2,3,2
633,3018151,1,2,2,9,3
634,3018162,1,3,2,9,2
635,3018200,1,2,2,2,2
636,3018208,2,1,1,3,1
637,3018225,2,1,1,2,0
638,3018229,1,1,1,9,2
639,3018232,2,2,2,9,2
640,3018276,1,4,3,2,3
641,3018310,2,1,1,9,1
642,3018413,2,2,0,2,0
643,3018453,1,1,1,1,1
644,3018488,1,2,2,2,2
645,3018495,2,1,1,1,0
646,3018556,1,2,2,3,1
647,3018596,1,4,2,4,3
648,3018622,1,3,3,2,2
649,3018665,1,8,1,2,1
650,3018673,2,1,1,3,1
651,3018677,1,2,2,2,2
652,3018745,2,2,2,2,2
653,3018804,1,2,1,4,1
654,3018844,1,2,2,3,2
655,3018898,1,2,2,4,3
656,3018912,2,1,0,1,0
657,3018946,1,4,2,4,2
658,3019156,1,2,2,9,2
659,3019178,1,3,1,2,1
660,3019183,1,2,2,2,3
661,3019213,1,2,2,2,2
662,3019245,2,2,2,3,1
663,3019297,1,2,0,1,0
664,3019329,1,1,1,2,1
665,3019425,1,1,1,9,1
666,3019445,1,2,1,2,1
667,3019462,2,1,1,2,1
668,3019481,1,2,2,9,2
669,3019486,2,2,2,4,0
670,3019513,1,1,0,9,0
671,3019517,1,3,3,4,3
672,3019528,1,4,2,2,2
673,3019530,2,3,2,4,1
674,3019543,1,4,2,4,2
675,3019552,2,3,1,1,1
676,3019627,2,1,1,2,1
677,3019642,2,1,0,2,0
678,3019648,2,2,1,9,0
679,3019662,1,3,2,4,2
680,3019663,1,6,2,4,2
681,3019737,2,1,1,2,2
682,3019806,1,2,2,3,2
683,3019818,1,2,2,4,2
684,3019832,2,1,1,1,1
685,3019849,1,3,2,2,2
686,3019858,2,3,2,4,1
687,3019865,1,1,1,2,1
688,3019880,2,4,2,2,2
689,3019915,1,3,3,4,3
690,3019983,1,2,2,4,2
691,3020020,1,2,2,2,2
692,3020033,1,2,2,2,2
693,3020059,1,1,1,2,3
694,3020073,2,1,1,3,0
695,3020084,2,4,2,4,1
696,3020100,1,2,2,2,2
697,3020132,2,1,1,2,1
698,3020161,2,2,2,4,2
699,3020181,2,3,3,4,2
700,3020205,1,2,2,9,1
701,3020292,1,2,2,9,2
702,3020294,1,3,3,2,2
703,3020301,1,6,5,4,3
704,3020324,1,3,3,2,3
705,3020344,1,3,1,2,1
706,3020364,1,5,2,2,1
707,3020385,1,2,2,3,2
708,3020493,1,1,1,2,1
709,3020541,1,2,2,9,2
710,3020552,1,1,1,1,2
711,3020648,2,3,2,1,1
712,3020652,2,1,1,1,0
713,3020673,2,1,1,2,0
714,3020676,1,4,2,9,3
715,3020690,1,2,2,4,2
716,3020718,2,3,2,9,2
717,3020719,2,1,1,2,0
718,3020770,2,1,1,3,1
719,3020781,2,1,1,1,0
720,3020784,1,1,1,3,1
721,3020849,1,2,2,2,2
722,3020869,1,2,2,9,2
723,3020904,1,4,3,2,3
724,3020925,1,3,2,4,2
725,3020935,1,2,2,2,3
726,3020946,1,4,2,4,2
727,3020959,2,1,1,1,0
728,3020974,2,1,0,1,0
729,3020984,1,1,0,1,0
730,3020994,2,4,4,3,3
731,3021022,2,1,1,1,0
732,3021046,1,4,2,2,2
733,3021051,2,2,1,2,1
734,3021065,1,2,2,2,2
