,SAMPN,CTFIP,BIN,RESTY,HHSIZ,INCOM,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,GEO_GROUP1,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC
107,3003086,36119,14,1,3,5,4,0,1,3,0,1,290.42857,CORTLANDT MANOR,,Cortlandt town,NY,10567,2238,36119014703,4,3,3,3,4
108,3003097,34029,15,1,2,6,4,0,2,2,0,1,308.83333,LANOKA HARBOR,,Lacey township,NJ,8734,3294,34029732001,10,2,4,3,2
109,3003113,36081,17,3,1,99,1,0,0,1,0,1,183.3125,QUEENS,NEW YORK CITY,Queens borough,NY,11357,527,36081099100,2,1,9,1,6
110,3003130,34031,17,2,2,4,2,0,2,2,0,1,334.33333,CLIFTON,CLIFTON CITY,Clifton city,NJ,7011,2732,34031125000,7,2,2,2,2
111,3003166,36061,6,2,1,99,0,0,1,1,0,1,420.625,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10016,131,36061008000,1,1,9,0,4
112,3003178,36087,15,1,3,8,3,1,2,2,0,1,287.33333,NEW CITY,NEW CITY CDP,Clarkstown town,NY,10954,2282,36087011404,4,3,4,3,2
113,3003180,9001,1,1,1,3,1,0,1,1,0,1,346.5,DANBURY,DANBURY CITY,Danbury town,CT,6811,2637,9001210900,6,1,2,1,4
114,3003209,34035,6,1,5,8,2,3,1,2,3,1,351.875,SKILLMAN,,Montgomery township,NJ,8558,3195,34035054201,9,4,4,2,3
115,3003227,36103,16,1,2,3,3,0,0,2,0,1,206.2,HUNTINGTON,ELWOOD CDP,Huntington town,NY,11743,1880,36103111506,3,2,2,3,6
116,3003250,9001,1,2,1,3,1,0,1,1,0,1,1716.0,NORWALK,NORWALK CITY,Norwalk town,CT,6851,2505,9001043400,6,1,2,1,4
117,3003257,34003,17,1,2,6,2,0,2,2,0,1,159.23529,FAIR LAWN,FAIR LAWN BOROUGH,Fair Lawn borough,NJ,7410,2677,34003017100,7,2,4,2,2
118,3003264,34019,21,1,4,6,3,2,2,2,2,1,58.95652,ANNANDALE,,Clinton township,NJ,8801,3320,34019011002,11,4,4,3,1
119,3003306,34019,18,1,2,8,2,0,1,2,0,1,145.93333,LEBANON,,Tewksbury township,NJ,8833,3338,34019010100,11,2,4,2,4
120,3003338,36047,3,2,3,5,2,0,3,3,0,1,1255.0,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11204,1335,36047026600,2,3,3,2,2
121,3003373,36061,10,2,1,1,1,0,0,1,0,1,430.94444,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10021,187,36061012600,1,1,1,1,6
122,3003394,36061,10,2,1,5,2,0,1,1,0,1,968.66667,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10012,23,36061004900,1,1,3,2,4
123,3003400,36005,7,2,4,2,1,2,1,2,2,1,1136.0,BRIDGEPORT,NEW YORK CITY,Bronx borough,NY,6610,911,36005021800,2,4,1,1,3
124,3003410,34025,21,1,2,4,2,0,1,2,0,1,107.86667,MIDDLETOWN,,Middletown township,NJ,7748,3260,34025801000,10,2,2,2,4
125,3003421,36059,18,1,3,6,3,1,3,3,0,1,118.41176,PLAINVIEW,PLAINVIEW CDP,Oyster Bay town,NY,11803,1832,36059519702,3,3,4,3,2
126,3003434,36119,11,2,1,1,0,0,0,0,0,1,544.5,YONKERS,YONKERS CITY,Yonkers city,NY,10710,2187,36119002203,4,1,1,0,6
127,3003501,34025,14,1,2,7,1,0,1,1,0,1,278.28571,OCEAN GROVE,OCEAN GROVE CDP,Neptune township,NJ,7756,3263,34025807400,10,2,4,1,4
128,3003526,34027,18,1,4,4,2,2,2,2,2,1,86.2,DENVILLE,,Denville township,NJ,7834,3151,34027041400,9,4,2,2,1
129,3003529,34013,17,1,4,8,2,2,2,2,2,1,137.0,WEST ORANGE,,West Orange township,NJ,7052,3082,34013018000,8,4,4,2,1
130,3003546,34029,13,2,2,2,1,0,0,2,0,1,537.25,BRICK,,Brick township,NJ,8724,3288,34029713300,10,2,1,1,6
131,3003559,36119,14,1,2,5,3,0,2,2,0,1,864.0,MONTROSE,MONTROSE CDP,Cortlandt town,NY,10548,2245,36119014604,4,2,3,3,2
132,3003572,36027,18,2,1,3,1,0,1,1,0,1,122.2381,POUGHKEEPSIE,,Poughkeepsie town,NY,12603,2399,36027140300,5,1,2,1,4
133,3003636,34021,16,1,2,8,2,0,2,2,0,1,252.0,PRINCETON,,Princeton township,NJ,8540,3581,34021004204,12,2,4,2,2
134,3003680,36081,12,1,1,4,1,0,0,1,0,1,186.28571,NEW YORK,NEW YORK CITY,Queens borough,NY,11366,559,36081133300,2,1,2,1,6
135,3003698,36027,20,1,2,6,2,0,2,2,0,1,112.5,BEACON,BEACON CITY,Beacon city,NY,12508,2445,36027210301,5,2,4,2,2
136,3003726,34027,20,2,5,3,3,2,4,4,0,1,137.77778,PARSIPPANY-TROY HILLS,,Parsippany-Troy Hills township,NJ,7054,3172,34027041706,9,4,2,3,2
137,3003778,36085,17,1,2,6,1,0,0,2,0,1,317.5,STATEN ISLAND,NEW YORK CITY,Staten Island borough,NY,10314,1568,36085018701,2,2,4,1,6
138,3003780,36061,20,2,1,99,0,0,1,1,0,1,128.66667,NEW YORK,NEW YORK CITY,Manhattan borough,NY,10021,193,36061013800,1,1,9,0,4
139,3003786,36087,15,1,5,6,2,3,1,2,2,1,442.33333,NEW CITY,NEW CITY CDP,Clarkstown town,NY,10956,2274,36087010804,4,4,4,2,3
140,3003835,36047,3,2,3,8,1,0,2,2,1,1,352.75,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11209,1295,36047005202,2,3,4,1,1
141,3003862,34041,21,1,2,6,2,1,2,2,0,1,76.91304,HACKETTSTOWN,HACKETTSTOWN TOWN,Hackettstown town,NJ,7840,3348,34041031401,11,2,4,2,2
142,3003866,34027,20,2,1,1,1,0,0,1,0,1,105.27273,LAKE HIAWATHA,,Parsippany-Troy Hills township,NJ,7034,3172,34027041701,9,1,1,1,6
143,3003902,34017,18,3,1,1,0,0,0,0,0,1,145.8,NEW YORK,WEST NEW YORK TOWN,West New York town,NJ,7093,2861,34017032400,8,1,1,0,6
144,3003910,34021,16,1,2,7,3,0,2,2,0,1,206.2,PENNINGTON,PENNINGTON BOROUGH,Pennington borough,NJ,8534,3579,34021003903,12,2,4,3,2
145,3003926,34003,20,2,1,3,1,0,0,1,0,1,292.57143,LODI,LODI BOROUGH,Lodi borough,NJ,7644,2691,34003030100,7,1,2,1,6
146,3003940,36059,17,1,2,4,2,0,2,2,0,1,209.0,MERRICK,MERRICK CDP,Hempstead town,NY,11566,1785,36059415202,3,2,2,2,2
147,3004022,36047,3,2,1,2,0,0,0,1,0,1,183.35714,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11206,1060,36047049100,2,1,1,0,6
148,3004077,34017,18,2,5,3,1,1,1,2,0,1,126.66667,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,7307,2754,34017000800,8,4,2,1,4
149,3004100,34027,15,1,1,6,2,0,1,1,0,1,183.5,LINCOLN PARK,LINCOLN PARK BOROUGH,Lincoln Park borough,NJ,7035,3159,34027040101,9,1,4,2,4
150,3004103,36047,8,2,2,8,0,0,2,1,0,1,13.0,BROOKLYN,NEW YORK CITY,Brooklyn borough,NY,11201,1075,36047001100,2,2,4,0,2
151,3004108,36119,2,1,2,6,2,0,1,1,0,1,643.66667,OSSINING,,Ossining town,NY,10562,2221,36119013700,4,2,4,2,4
152,3004127,34013,17,1,1,4,1,0,1,1,0,1,270.0,MONTCLAIR,,Montclair township,NJ,7042,3074,34013017200,8,1,2,1,4
153,3004149,34013,6,1,2,7,4,0,1,2,0,1,179.5,MONTCLAIR,UPPER MONTCLAIR CDP,Montclair township,NJ,7043,3063,34013016100,8,2,4,3,4
154,3004205,36081,12,1,2,4,2,0,2,2,0,1,367.5,NEW YORK,NEW YORK CITY,Queens borough,NY,11357,492,36081097300,2,2,2,2,2
155,3004212,34013,7,2,1,3,0,0,0,0,0,1,1761.0,EAST ORANGE,EAST ORANGE CITY,East Orange city,NJ,7017,3004,34013010200,8,1,2,0,6
156,3004262,34013,21,1,2,5,3,0,1,2,0,1,114.125,CALDWELL,CALDWELL BOROUGH,Caldwell borough,NJ,7006,3121,34013021702,8,2,3,3,4
157,3004320,34039,21,1,3,5,4,0,1,2,0,1,92.2963,BERKELEY HEIGHTS,,Berkeley Heights township,NJ,7922,3123,34039038202,8,3,3,3,4
158,3004323,34029,15,1,2,99,3,0,0,2,0,1,265.6,LAKEWOOD,,Lakewood township,NJ,8701,3296,34029715700,10,2,9,3,6
